factor,state,number
Preterm Birth Rate,Missouri,0.113
Preterm Birth Rate,Montana,0.105
Preterm Birth Rate,Nebraska,0.106
Preterm Birth Rate,Nevada,0.126
Preterm Birth Rate,New Hampshire,0.09
Preterm Birth Rate,New Jersey,0.115
Preterm Birth Rate,New Mexico,0.116
Preterm Birth Rate,New York,0.107
Preterm Birth Rate,North Carolina,0.12
Preterm Birth Rate,North Dakota,0.099
Preterm Birth Rate,Ohio,0.121
Preterm Birth Rate,Oklahoma,0.128
Preterm Birth Rate,Oregon,0.093
Preterm Birth Rate,Pennsylvania,0.107
Preterm Birth Rate,Rhode Island,0.102
Preterm Birth Rate,South Carolina,0.138
Preterm Birth Rate,South Dakota,0.108
Preterm Birth Rate,Tennessee,0.126
Preterm Birth Rate,Texas,0.123
Preterm Birth Rate,Utah,0.102
Preterm Birth Rate,Vermont,0.081
Preterm Birth Rate,Virginia,0.11
Preterm Birth Rate,Washington,0.097
Preterm Birth Rate,West Virginia,0.125
Preterm Birth Rate,Wisconsin,0.104
Preterm Birth Rate,Wyoming,0.116
Heathcare Expenditures,United States,6815
Heathcare Expenditures,Alabama,6272
Heathcare Expenditures,Alaska,9128
Heathcare Expenditures,Arizona,5434
Heathcare Expenditures,Arkansas,6167
Heathcare Expenditures,California,6238
Heathcare Expenditures,Colorado,5994
Heathcare Expenditures,Connecticut,8654
Heathcare Expenditures,Delaware,8480
Heathcare Expenditures,Florida,7156
Heathcare Expenditures,Georgia,5467
Heathcare Expenditures,Hawaii,6856
Heathcare Expenditures,Idaho,5658
Heathcare Expenditures,Illinois,6756
Heathcare Expenditures,Indiana,6666
Heathcare Expenditures,Iowa,6921
Heathcare Expenditures,Kansas,6782
Heathcare Expenditures,Kentucky,6596
Heathcare Expenditures,Louisiana,6795
Heathcare Expenditures,Maine,8521
Heathcare Expenditures,Maryland,7492
Heathcare Expenditures,Massachusetts,9278
Heathcare Expenditures,Michigan,6618
Heathcare Expenditures,Minnesota,7409
Heathcare Expenditures,Mississippi,6571
Heathcare Expenditures,Missouri,6967
Heathcare Expenditures,Montana,6640
Heathcare Expenditures,Nebraska,7048
Heathcare Expenditures,Nevada,5735
Heathcare Expenditures,New Hampshire,7839
Heathcare Expenditures,New Jersey,7583
Heathcare Expenditures,New Mexico,6651
Heathcare Expenditures,New York,8341
Heathcare Expenditures,North Carolina,6444
Heathcare Expenditures,North Dakota,7749
Heathcare Expenditures,Ohio,7076
Heathcare Expenditures,Oklahoma,6532
Heathcare Expenditures,Oregon,6580
Heathcare Expenditures,Pennsylvania,7730
Heathcare Expenditures,Rhode Island,8309
Heathcare Expenditures,South Carolina,6323
Heathcare Expenditures,South Dakota,7056
Heathcare Expenditures,Tennessee,6411
Heathcare Expenditures,Texas,5924
Heathcare Expenditures,Utah,5031
Heathcare Expenditures,Vermont,7635
Heathcare Expenditures,Virginia,6286
Heathcare Expenditures,Washington,6782
Heathcare Expenditures,West Virginia,7667
Heathcare Expenditures,Wisconsin,7233
Heathcare Expenditures,Wyoming,7040
Children on Medicaid,United States,0.39
Children on Medicaid,Alabama,0.43
Children on Medicaid,Alaska,0.34
Children on Medicaid,Arizona,0.43
Children on Medicaid,Arkansas,0.48
Children on Medicaid,California,0.43
Children on Medicaid,Colorado,0.35
Children on Medicaid,Connecticut,0.29
Children on Medicaid,Delaware,0.31
Children on Medicaid,Florida,0.46
Children on Medicaid,Georgia,0.41
Children on Medicaid,Hawaii,0.34
Children on Medicaid,Idaho,0.35
Children on Medicaid,Illinois,0.38
Children on Medicaid,Indiana,0.35
Children on Medicaid,Iowa,0.35
Children on Medicaid,Kansas,0.35
Children on Medicaid,Kentucky,0.42
Children on Medicaid,Louisiana,0.54
Children on Medicaid,Maine,0.39
Children on Medicaid,Maryland,0.26
Children on Medicaid,Massachusetts,0.36
Children on Medicaid,Michigan,0.39
Children on Medicaid,Minnesota,0.25
Children on Medicaid,Mississippi,0.56
Children on Medicaid,Missouri,0.32
Children on Medicaid,Montana,0.33
Children on Medicaid,Nebraska,0.34
Children on Medicaid,Nevada,0.34
Children on Medicaid,New Hampshire,0.31
Children on Medicaid,New Jersey,0.32
Children on Medicaid,New Mexico,0.51
Children on Medicaid,New York,0.43
Children on Medicaid,North Carolina,0.4
Children on Medicaid,North Dakota,0.21
Children on Medicaid,Ohio,0.43
Children on Medicaid,Oklahoma,0.38
Children on Medicaid,Oregon,0.38
Children on Medicaid,Pennsylvania,0.39
Children on Medicaid,Rhode Island,0.37
Children on Medicaid,South Carolina,0.42
Children on Medicaid,South Dakota,0.29
Children on Medicaid,Tennessee,0.37
Children on Medicaid,Texas,0.42
Children on Medicaid,Utah,0.19
Children on Medicaid,Vermont,0.41
Children on Medicaid,Virginia,0.21
Children on Medicaid,Washington,0.42
Children on Medicaid,West Virginia,0.53
Children on Medicaid,Wisconsin,0.34
Children on Medicaid,Wyoming,0.22
Uninsured Children,United States,0.06
Uninsured Children,Alabama,0.05
Uninsured Children,Alaska,0.12
Uninsured Children,Arizona,0.1
Uninsured Children,Arkansas,0.04
Uninsured Children,California,0.05
Uninsured Children,Colorado,0.09
Uninsured Children,Connecticut,0.03
Uninsured Children,Delaware,0.06
Uninsured Children,Florida,0.08
Uninsured Children,Georgia,0.08
Uninsured Children,Hawaii,0.03
Uninsured Children,Idaho,0.07
Uninsured Children,Illinois,0.04
Uninsured Children,Indiana,0.07
Uninsured Children,Iowa,
Uninsured Children,Kansas,0.07
Uninsured Children,Kentucky,0.05
Uninsured Children,Louisiana,0.03
Uninsured Children,Maine,
Uninsured Children,Maryland,0.02
Uninsured Children,Massachusetts,0.04
Uninsured Children,Michigan,0.03
Uninsured Children,Minnesota,0.07
Uninsured Children,Mississippi,0.05
Uninsured Children,Missouri,0.05
Uninsured Children,Montana,0.08
Uninsured Children,Nebraska,0.04
Uninsured Children,Nevada,0.11
Uninsured Children,New Hampshire,0.04
Uninsured Children,New Jersey,0.06
Uninsured Children,New Mexico,0.08
Uninsured Children,New York,0.05
Uninsured Children,North Carolina,0.08
Uninsured Children,North Dakota,
Uninsured Children,Ohio,0.04
Uninsured Children,Oklahoma,0.14
Uninsured Children,Oregon,0.04
Uninsured Children,Pennsylvania,0.05
Uninsured Children,Rhode Island,0.03
Uninsured Children,South Carolina,0.07
Uninsured Children,South Dakota,0.07
Uninsured Children,Tennessee,0.06
Uninsured Children,Texas,0.09
Uninsured Children,Utah,0.1
Uninsured Children,Vermont,
Uninsured Children,Virginia,0.06
Uninsured Children,Washington,0.05
Uninsured Children,West Virginia,
Uninsured Children,Wisconsin,0.04
Uninsured Children,Wyoming,0.06
Poverty Rate,United States,0.21
Poverty Rate,Alabama,0.25
Poverty Rate,Alaska,0.16
Poverty Rate,Arizona,0.29
Poverty Rate,Arkansas,0.3
Poverty Rate,California,0.23
Poverty Rate,Colorado,0.17
Poverty Rate,Connecticut,0.12
Poverty Rate,Delaware,0.17
Poverty Rate,Florida,0.25
Poverty Rate,Georgia,0.26
Poverty Rate,Hawaii,0.17
Poverty Rate,Idaho,0.16
Poverty Rate,Illinois,0.21
Poverty Rate,Indiana,0.23
Poverty Rate,Iowa,0.14
Poverty Rate,Kansas,0.17
Poverty Rate,Kentucky,0.31
Poverty Rate,Louisiana,0.33
Poverty Rate,Maine,0.2
Poverty Rate,Maryland,0.14
Poverty Rate,Massachusetts,0.18
Poverty Rate,Michigan,0.21
Poverty Rate,Minnesota,0.12
Poverty Rate,Mississippi,0.29
Poverty Rate,Missouri,0.15
Poverty Rate,Montana,0.17
Poverty Rate,Nebraska,0.19
Poverty Rate,Nevada,0.25
Poverty Rate,New Hampshire,0.11
Poverty Rate,New Jersey,0.16
Poverty Rate,New Mexico,0.27
Poverty Rate,New York,0.19
Poverty Rate,North Carolina,0.24
Poverty Rate,North Dakota,0.13
Poverty Rate,Ohio,0.23
Poverty Rate,Oklahoma,0.26
Poverty Rate,Oregon,0.2
Poverty Rate,Pennsylvania,0.19
Poverty Rate,Rhode Island,0.19
Poverty Rate,South Carolina,0.23
Poverty Rate,South Dakota,0.18
Poverty Rate,Tennessee,0.26
Poverty Rate,Texas,0.24
Poverty Rate,Utah,0.12
Poverty Rate,Vermont,0.12
Poverty Rate,Virginia,0.12
Poverty Rate,Washington,0.17
Poverty Rate,West Virginia,0.26
Poverty Rate,Wisconsin,0.16
Poverty Rate,Wyoming,0.11
Low Birth Weight,United States,0.08
Low Birth Weight,Alabama,0.1
Low Birth Weight,Alaska,0.06
Low Birth Weight,Arizona,0.07
Low Birth Weight,Arkansas,0.09
Low Birth Weight,California,0.07
Low Birth Weight,Colorado,0.09
Low Birth Weight,Connecticut,0.08
Low Birth Weight,Delaware,0.08
Low Birth Weight,Florida,0.09
Low Birth Weight,Georgia,0.1
Low Birth Weight,Hawaii,0.08
Low Birth Weight,Idaho,0.07
Low Birth Weight,Illinois,0.08
Low Birth Weight,Indiana,0.08
Low Birth Weight,Iowa,0.07
Low Birth Weight,Kansas,0.07
Low Birth Weight,Kentucky,0.09
Low Birth Weight,Louisiana,0.11
Low Birth Weight,Maine,0.07
Low Birth Weight,Maryland,0.09
Low Birth Weight,Massachusetts,0.08
Low Birth Weight,Michigan,0.08
Low Birth Weight,Minnesota,0.06
Low Birth Weight,Mississippi,0.12
Low Birth Weight,Missouri,0.08
Low Birth Weight,Montana,0.07
Low Birth Weight,Nebraska,0.06
Low Birth Weight,Nevada,0.08
Low Birth Weight,New Hampshire,0.07
Low Birth Weight,New Jersey,0.08
Low Birth Weight,New Mexico,0.09
Low Birth Weight,New York,0.08
Low Birth Weight,North Carolina,0.09
Low Birth Weight,North Dakota,0.06
Low Birth Weight,Ohio,0.09
Low Birth Weight,Oklahoma,0.08
Low Birth Weight,Oregon,0.06
Low Birth Weight,Pennsylvania,0.08
Low Birth Weight,Rhode Island,0.07
Low Birth Weight,South Carolina,0.1
Low Birth Weight,South Dakota,0.06
Low Birth Weight,Tennessee,0.09
Low Birth Weight,Texas,0.08
Low Birth Weight,Utah,0.07
Low Birth Weight,Vermont,0.07
Low Birth Weight,Virginia,0.08
Low Birth Weight,Washington,0.06
Low Birth Weight,West Virginia,0.09
Low Birth Weight,Wisconsin,0.07
Low Birth Weight,Wyoming,0.09
Birth Rate,United States,62.5
Birth Rate,Alabama,60.6
Birth Rate,Alaska,77.8
Birth Rate,Arizona,66.3
Birth Rate,Arkansas,65.9
Birth Rate,California,62
Birth Rate,Colorado,61
Birth Rate,Connecticut,52.7
Birth Rate,Delaware,60.3
Birth Rate,Florida,59.3
Birth Rate,Georgia,61.6
Birth Rate,Hawaii,71.5
Birth Rate,Idaho,71.8
Birth Rate,Illinois,60.3
Birth Rate,Indiana,64.3
Birth Rate,Iowa,67.1
Birth Rate,Kansas,69.5
Birth Rate,Kentucky,65.3
Birth Rate,Louisiana,67.3
Birth Rate,Maine,54.4
Birth Rate,Maryland,60.1
Birth Rate,Massachusetts,52.8
Birth Rate,Michigan,60
Birth Rate,Minnesota,65.9
Birth Rate,Mississippi,64.2
Birth Rate,Missouri,64.1
Birth Rate,Montana,67.2
Birth Rate,Nebraska,72.2
Birth Rate,Nevada,62.8
Birth Rate,New Hampshire,50.8
Birth Rate,New Jersey,59.6
Birth Rate,New Mexico,66.1
Birth Rate,New York,58.8
Birth Rate,North Carolina,60.4
Birth Rate,North Dakota,75.3
Birth Rate,Ohio,62.7
Birth Rate,Oklahoma,70.6
Birth Rate,Oregon,58.6
Birth Rate,Pennsylvania,58.4
Birth Rate,Rhode Island,51.6
Birth Rate,South Carolina,60.6
Birth Rate,South Dakota,78.1
Birth Rate,Tennessee,62.1
Birth Rate,Texas,69.9
Birth Rate,Utah,80.9
Birth Rate,Vermont,51.4
Birth Rate,Virginia,60.9
Birth Rate,Washington,62.6
Birth Rate,West Virginia,61.5
Birth Rate,Wisconsin,61.3
Birth Rate,Wyoming,69.3
Obesity,United States,
Obesity,Alabama,33.5
Obesity,Alaska,29.7
Obesity,Arizona,28.9
Obesity,Arkansas,35.9
Obesity,California,24.7
Obesity,Colorado,21.3
Obesity,Connecticut,26.3
Obesity,Delaware,30.7
Obesity,Florida,26.2
Obesity,Georgia,30.5
Obesity,Hawaii,22.1
Obesity,Idaho,28.9
Obesity,Illinois,29.3
Obesity,Indiana,32.7
Obesity,Iowa,30.9
Obesity,Kansas,31.3
Obesity,Kentucky,31.6
Obesity,Louisiana,34.9
Obesity,Maine,28.2
Obesity,Maryland,29.6
Obesity,Massachusetts,23.3
Obesity,Michigan,30.7
Obesity,Minnesota,27.6
Obesity,Mississippi,35.5
Obesity,Missouri,30.2
Obesity,Montana,26.4
Obesity,Nebraska,30.2
Obesity,Nevada,27.7
Obesity,New Hampshire,27.4
Obesity,New Jersey,26.9
Obesity,New Mexico,28.4
Obesity,New York,27
Obesity,North Carolina,29.7
Obesity,North Dakota,32.2
Obesity,Ohio,32.6
Obesity,Oklahoma,33
Obesity,Oregon,27.9
Obesity,Pennsylvania,30.2
Obesity,Rhode Island,27
Obesity,South Carolina,32.1
Obesity,South Dakota,29.8
Obesity,Tennessee,31.2
Obesity,Texas,31.9
Obesity,Utah,25.7
Obesity,Vermont,24.8
Obesity,Virginia,28.5
Obesity,Washington,27.3
Obesity,West Virginia,35.7
Obesity,Wisconsin,31.2
Obesity,Wyoming,29.5
Teen Birth Rate,United States,26.51
Teen Birth Rate,Alabama,34.3
Teen Birth Rate,Alaska,30.3
Teen Birth Rate,Arizona,33.1
Teen Birth Rate,Arkansas,43.5
Teen Birth Rate,California,23.6
Teen Birth Rate,Colorado,23.4
Teen Birth Rate,Connecticut,12.9
Teen Birth Rate,Delaware,24.7
Teen Birth Rate,Florida,24.6
Teen Birth Rate,Georgia,30.5
Teen Birth Rate,Hawaii,25.1
Teen Birth Rate,Idaho,25.7
Teen Birth Rate,Illinois,24.6
Teen Birth Rate,Indiana,30.3
Teen Birth Rate,Iowa,22.1
Teen Birth Rate,Kansas,29.6
Teen Birth Rate,Kentucky,39.5
Teen Birth Rate,Louisiana,39.2
Teen Birth Rate,Maine,17.4
Teen Birth Rate,Maryland,19.4
Teen Birth Rate,Massachusetts,12.1
Teen Birth Rate,Michigan,23.6
Teen Birth Rate,Minnesota,16.8
Teen Birth Rate,Mississippi,42.6
Teen Birth Rate,Missouri,30
Teen Birth Rate,Montana,27.9
Teen Birth Rate,Nebraska,24.9
Teen Birth Rate,Nevada,30.3
Teen Birth Rate,New Hampshire,12.6
Teen Birth Rate,New Jersey,14.8
Teen Birth Rate,New Mexico,43.3
Teen Birth Rate,New York,17.7
Teen Birth Rate,North Carolina,28.4
Teen Birth Rate,North Dakota,24.1
Teen Birth Rate,Ohio,27.2
Teen Birth Rate,Oklahoma,42.9
Teen Birth Rate,Oregon,21.6
Teen Birth Rate,Pennsylvania,20.9
Teen Birth Rate,Rhode Island,17.7
Teen Birth Rate,South Carolina,31.6
Teen Birth Rate,South Dakota,29.1
Teen Birth Rate,Tennessee,34.7
Teen Birth Rate,Texas,41
Teen Birth Rate,Utah,20.6
Teen Birth Rate,Vermont,14.5
Teen Birth Rate,Virginia,20.1
Teen Birth Rate,Washington,20.5
Teen Birth Rate,West Virginia,40.1
Teen Birth Rate,Wisconsin,19.6
Teen Birth Rate,Wyoming,29.6
Unintended Pregnancies,United States,55
Unintended Pregnancies,Alabama,48
Unintended Pregnancies,Alaska,51
Unintended Pregnancies,Arizona,55
Unintended Pregnancies,Arkansas,48
Unintended Pregnancies,California,45
Unintended Pregnancies,Colorado,51
Unintended Pregnancies,Connecticut,57
Unintended Pregnancies,Delaware,62
Unintended Pregnancies,Florida,60
Unintended Pregnancies,Georgia,56
Unintended Pregnancies,Hawaii,39
Unintended Pregnancies,Idaho,52
Unintended Pregnancies,Illinois,49
Unintended Pregnancies,Indiana,43
Unintended Pregnancies,Iowa,45
Unintended Pregnancies,Kansas,47
Unintended Pregnancies,Kentucky,60
Unintended Pregnancies,Louisiana,48
Unintended Pregnancies,Maine,58
Unintended Pregnancies,Maryland,47
Unintended Pregnancies,Massachusetts,54
Unintended Pregnancies,Michigan,40
Unintended Pregnancies,Minnesota,62
Unintended Pregnancies,Mississippi,51
Unintended Pregnancies,Missouri,45
Unintended Pregnancies,Montana,43
Unintended Pregnancies,Nebraska,52
Unintended Pregnancies,Nevada,43
Unintended Pregnancies,New Hampshire,53
Unintended Pregnancies,New Jersey,55
Unintended Pregnancies,New Mexico,55
Unintended Pregnancies,New York,54
Unintended Pregnancies,North Carolina,44
Unintended Pregnancies,North Dakota,55
Unintended Pregnancies,Ohio,51
Unintended Pregnancies,Oklahoma,46
Unintended Pregnancies,Oregon,53
Unintended Pregnancies,Pennsylvania,52
Unintended Pregnancies,Rhode Island,50
Unintended Pregnancies,South Carolina,46
Unintended Pregnancies,South Dakota,56
Unintended Pregnancies,Tennessee,54
Unintended Pregnancies,Texas,36
Unintended Pregnancies,Utah,46
Unintended Pregnancies,Vermont,54
Unintended Pregnancies,Virginia,48
Unintended Pregnancies,Washington,52
Unintended Pregnancies,West Virginia,46
Unintended Pregnancies,Wisconsin,44
Unintended Pregnancies,Wyoming
